;Date;Max_TemperatureC;Mean_TemperatureC;Min_TemperatureC;month;mean_month
0;1/1/1948;10;8.0;7.0;gener;4.493981704381319
1;1/2/1948;6;4.0;3.0;gener;4.493981704381319
2;1/3/1948;7;4.0;2.0;gener;4.493981704381319
3;1/4/1948;7;4.0;2.0;gener;4.493981704381319
4;1/5/1948;7;3.0;0.0;gener;4.493981704381319
5;1/6/1948;9;7.0;5.0;gener;4.493981704381319
6;1/7/1948;10;7.0;4.0;gener;4.493981704381319
7;1/8/1948;8;5.0;2.0;gener;4.493981704381319
8;1/9/1948;9;4.0;1.0;gener;4.493981704381319
9;1/10/1948;6;4.0;2.0;gener;4.493981704381319
10;1/11/1948;5;3.0;1.0;gener;4.493981704381319
11;1/12/1948;5;1.0;-2.0;gener;4.493981704381319
12;1/13/1948;7;3.0;-1.0;gener;4.493981704381319
13;1/14/1948;3;0.0;-3.0;gener;4.493981704381319
14;1/15/1948;1;1.0;0.0;gener;4.493981704381319
15;1/16/1948;1;-1.0;-2.0;gener;4.493981704381319
16;1/17/1948;1;0.0;-1.0;gener;4.493981704381319
17;1/18/1948;1;0.0;-1.0;gener;4.493981704381319
18;1/19/1948;1;-1.0;-2.0;gener;4.493981704381319
19;1/20/1948;2;1.0;-1.0;gener;4.493981704381319
20;1/21/1948;8;4.0;1.0;gener;4.493981704381319
21;1/22/1948;8;7.0;5.0;gener;4.493981704381319
22;1/23/1948;8;7.0;7.0;gener;4.493981704381319
23;1/24/1948;6;4.0;2.0;gener;4.493981704381319
24;1/25/1948;8;4.0;0.0;gener;4.493981704381319
25;1/26/1948;7;4.0;1.0;gener;4.493981704381319
26;1/27/1948;11;6.0;1.0;gener;4.493981704381319
27;1/28/1948;12;4.0;-3.0;gener;4.493981704381319
28;1/29/1948;6;3.0;2.0;gener;4.493981704381319
29;1/30/1948;8;3.0;-1.0;gener;4.493981704381319
30;1/31/1948;1;-1.0;-2.0;gener;4.493981704381319
31;2/1/1948;4;2.0;0.0;febrer;6.053022269353129
32;2/2/1948;6;2.0;-2.0;febrer;6.053022269353129
33;2/3/1948;3;0.0;-2.0;febrer;6.053022269353129
34;2/4/1948;4;2.0;0.0;febrer;6.053022269353129
35;2/5/1948;2;0.0;-2.0;febrer;6.053022269353129
36;2/6/1948;6;0.0;-6.0;febrer;6.053022269353129
37;2/7/1948;6;2.0;-2.0;febrer;6.053022269353129
38;2/8/1948;6;4.0;3.0;febrer;6.053022269353129
39;2/9/1948;6;3.0;1.0;febrer;6.053022269353129
40;2/10/1948;3;0.0;-2.0;febrer;6.053022269353129
41;2/11/1948;7;1.0;-4.0;febrer;6.053022269353129
42;2/12/1948;6;2.0;-2.0;febrer;6.053022269353129
43;2/13/1948;8;6.0;3.0;febrer;6.053022269353129
44;2/14/1948;7;6.0;5.0;febrer;6.053022269353129
45;2/15/1948;6;4.0;3.0;febrer;6.053022269353129
46;2/16/1948;11;7.0;3.0;febrer;6.053022269353129
47;2/17/1948;13;10.0;8.0;febrer;6.053022269353129
48;2/18/1948;8;4.0;1.0;febrer;6.053022269353129
49;2/19/1948;6;3.0;0.0;febrer;6.053022269353129
50;2/20/1948;7;4.0;2.0;febrer;6.053022269353129
51;2/21/1948;9;7.0;4.0;febrer;6.053022269353129
52;2/22/1948;8;6.0;4.0;febrer;6.053022269353129
53;2/23/1948;8;6.0;3.0;febrer;6.053022269353129
54;2/24/1948;7;4.0;3.0;febrer;6.053022269353129
55;2/25/1948;8;7.0;6.0;febrer;6.053022269353129
56;2/26/1948;9;7.0;4.0;febrer;6.053022269353129
57;2/27/1948;8;6.0;3.0;febrer;6.053022269353129
58;2/28/1948;9;5.0;1.0;febrer;6.053022269353129
59;2/29/1948;7;4.0;2.0;febrer;6.053022269353129
60;3/1/1948;7;4.0;1.0;març;7.365591397849462
61;3/2/1948;9;4.0;0.0;març;7.365591397849462
62;3/3/1948;11;4.0;-1.0;març;7.365591397849462
63;3/4/1948;14;7.0;1.0;març;7.365591397849462
64;3/5/1948;8;7.0;6.0;març;7.365591397849462
65;3/6/1948;8;7.0;6.0;març;7.365591397849462
66;3/7/1948;6;3.0;2.0;març;7.365591397849462
67;3/8/1948;6;3.0;1.0;març;7.365591397849462
68;3/9/1948;8;4.0;2.0;març;7.365591397849462
69;3/10/1948;10;5.0;0.0;març;7.365591397849462
70;3/11/1948;10;5.0;0.0;març;7.365591397849462
71;3/12/1948;14;10.0;6.0;març;7.365591397849462
72;3/13/1948;10;7.0;3.0;març;7.365591397849462
73;3/14/1948;11;7.0;2.0;març;7.365591397849462
74;3/15/1948;11;7.0;3.0;març;7.365591397849462
75;3/16/1948;10;6.0;2.0;març;7.365591397849462
76;3/17/1948;10;7.0;3.0;març;7.365591397849462
77;3/18/1948;8;6.0;3.0;març;7.365591397849462
78;3/19/1948;7;4.0;2.0;març;7.365591397849462
79;3/20/1948;7;4.0;2.0;març;7.365591397849462
80;3/21/1948;8;6.0;4.0;març;7.365591397849462
81;3/22/1948;6;3.0;0.0;març;7.365591397849462
82;3/23/1948;12;6.0;0.0;març;7.365591397849462
83;3/24/1948;12;7.0;3.0;març;7.365591397849462
84;3/25/1948;10;7.0;3.0;març;7.365591397849462
85;3/26/1948;13;8.0;3.0;març;7.365591397849462
86;3/27/1948;19;11.0;4.0;març;7.365591397849462
87;3/28/1948;18;12.0;6.0;març;7.365591397849462
88;3/29/1948;9;7.0;4.0;març;7.365591397849462
89;3/30/1948;17;11.0;4.0;març;7.365591397849462
90;3/31/1948;12;8.0;5.0;març;7.365591397849462
91;4/1/1948;8;6.0;4.0;abril;9.611616161616162
92;4/2/1948;7;4.0;2.0;abril;9.611616161616162
93;4/3/1948;7;4.0;1.0;abril;9.611616161616162
94;4/4/1948;9;4.0;1.0;abril;9.611616161616162
95;4/5/1948;11;6.0;1.0;abril;9.611616161616162
96;4/6/1948;6;4.0;2.0;abril;9.611616161616162
97;4/7/1948;13;7.0;0.0;abril;9.611616161616162
98;4/8/1948;15;8.0;1.0;abril;9.611616161616162
99;4/9/1948;10;8.0;5.0;abril;9.611616161616162
100;4/10/1948;12;8.0;4.0;abril;9.611616161616162
101;4/11/1948;10;7.0;4.0;abril;9.611616161616162
102;4/12/1948;9;7.0;4.0;abril;9.611616161616162
103;4/13/1948;15;9.0;4.0;abril;9.611616161616162
104;4/14/1948;17;11.0;6.0;abril;9.611616161616162
105;4/15/1948;18;14.0;10.0;abril;9.611616161616162
106;4/16/1948;17;12.0;7.0;abril;9.611616161616162
107;4/17/1948;12;10.0;8.0;abril;9.611616161616162
108;4/18/1948;14;11.0;6.0;abril;9.611616161616162
109;4/19/1948;16;10.0;4.0;abril;9.611616161616162
110;4/20/1948;18;11.0;4.0;abril;9.611616161616162
111;4/21/1948;13;10.0;8.0;abril;9.611616161616162
112;4/22/1948;13;10.0;7.0;abril;9.611616161616162
113;4/23/1948;12;9.0;7.0;abril;9.611616161616162
114;4/24/1948;8;7.0;6.0;abril;9.611616161616162
115;4/25/1948;8;6.0;3.0;abril;9.611616161616162
116;4/26/1948;9;5.0;1.0;abril;9.611616161616162
117;4/27/1948;11;6.0;1.0;abril;9.611616161616162
118;4/28/1948;7;7.0;6.0;abril;9.611616161616162
119;4/29/1948;12;7.0;2.0;abril;9.611616161616162
120;4/30/1948;13;8.0;2.0;abril;9.611616161616162
121;5/1/1948;14;9.0;4.0;maig;12.917590361445782
122;5/2/1948;14;8.0;3.0;maig;12.917590361445782
123;5/3/1948;12;9.0;7.0;maig;12.917590361445782
124;5/4/1948;13;10.0;7.0;maig;12.917590361445782
125;5/5/1948;13;10.0;8.0;maig;12.917590361445782
